carbon_NFA_name,carbon_PCE,carbon_sidechain,oxygen_NFA_name,oxygen_PCE,oxygen_sidechain,donor,location,type,class,difference
IOIC2,9.12,C6,IOIC3,12.8,O-C6,PTB7-Th,benzene_core,core,fused,-3.68
BO-4Cl,16.565,C11,BTP2O-4Cl-C12,15.3,O-C11,PM6,outer_chain,core,y,1.265
HD-4Cl,16.65,C11,HDO-4Cl,15.2,O-C10,PM6,outer_chain,core,y,1.45
BO-4F,16.54,C11,Y6-O,16.4,O-C12,PM6,outer_chain,core,y,0.14
Y26,13.46,C6,BZ4F-O-1,13.5,O-C6,PM6,other_chain,core,y,-0.04
IE-4F,10.6,EH,IEICO-4F,8.48,O-EH,PBDB-T,thiophene,linker,fused,2.12
IE-4Cl,10.9,EH,IEICO-4Cl,9.43,O-EH,PBDB-T,thiophene,linker,fused,1.47
IEIC,4.7,EH,IEICO,9.32,O-EH,PBDTTT-E-T,thiophene,linker,fused,-4.62
ERCN,2.64,C2,ORCN,6.4,OCH3,P3HT,thiophene,linker,fused,-3.76
IDTC,9.04,EH,IDTO,9.68,O-EH,PBDB-T,thiophene,linker,fused,-0.64
IDT-BC6,2.17,C6,IDT-BOC6,9.43,O-C6,PBDB-T,benzene_spacer,linker,fused,-7.26
4T-3,9.85,EH,4T-4,8.16,O-EH,PBDB-T,thiophene,linker,unfused,1.69
PTIC,10.06,C6,PTICO,6.28,O-C6,PM6,thiophene,linker,unfused,3.78
4T-EH,7.36,EH,4T-OEH,12.12,O-EH,PBDB-T,thiophene,linker,unfused,-4.76
ITIC-C9,9.53,ph-C9,ITOR-IC,9.1,ph-O-C8,PM6,C_ring_core,phenyl,fused,0.43
INPIC-4F,11.36,ph-C6,p-INPOIC,10.4,ph-O-C6,PBDB-T,C_ring_core,phenyl,fused,0.96
BTA3,3.99,ph-C6,BTA43,6.41,ph-O-C6,P3HT,C_ring_core,phenyl,fused,-2.42
F-BTA5,10.22,ph-C6,F-BTA45,9.34,ph-O-C6,PTB7-Th,C_ring_core,phenyl,fused,0.88
IDTT-BH,9.87,ph-BO,IDTT-OBH,10.79,ph-O-BO,PBDB-T,C_ring_core,phenyl,fused,-0.92
IDTT-BH,10.14,ph-BO,IDTT-OBH,8.09,ph-O-BO,PDCBT,C_ring_core,phenyl,fused,2.05
IDTT-BH,10.89,ph-BO,IDTT-OBH,7.93,ph-O-BO,J71,C_ring_core,phenyl,fused,2.96
CH3-2F,12.04,ph-CH3,OCH3-2F,7.68,ph-OCH3,PBDB-T,bithiophene,phenyl,unfused,4.36
